# E-Graph Variants - Generated Training Data
# Format: name|seed_idx|variant_idx|node_count|depth|cost|features...
#
eg0010v0|10|0|15|7|46|14336,12544,20992,19200,64512,62465,13057,62466,4866,11268,64776,7173,64778,3339,65046,62999,49152,57600,55808,35584,33537,49665,33538,41474,47876,35848,43781,35850,39947,36118,34071,40960,39168,18944,16897,33025,16898,24834,31236,19208,27141,19210,23307,19478,17431,10240,55552,53505,30720,0,49152,33024,0,57344,63744,51712,59649,51714,55811,51974,49927,18432,6400,30720,22528,14592,18689,14850,12803,30720,26624,22784,20737,30720,0
eg0011v0|11|0|6|4|10|57344,6400,2560,49920,49665,49409,10240,6400,53760,53505,14336,61696,0,0,0
eg0011v1|11|1|6|4|10|57344,49408,6401,2562,49924,49667,0,10240,6400,53760,53505,14336,61696,0,0
eg0012v0|12|0|16|6|55|22528,35072,35328,17152,19456,13568,15617,29697,15618,13057,27137,13058,16641,25090,15108,14851,10240,10496,57856,60160,54272,56321,4865,56322,53761,2305,53762,10240,57600,59904,54016,56065,4609,56066,53505,61440,63744,57856,59905,8449,59906,26624,20736,22785,0,30720,49152,35072,30720,0,18432,4352,0,61440,4352,59904,59649,53248,43264,30720,30720
eg0012v1|12|1|17|6|49|57344,6400,6656,54016,56320,50432,52481,1025,52482,49921,64001,49922,59649,51714,53763,62214,52236,51975,10240,10496,57856,60160,54272,56321,4865,56322,53761,2305,53762,10240,57600,59904,54016,56065,4609,56066,53505,61440,63744,57856,59905,8449,59906,26624,20736,22785,0,30720,49152,35072,30720,0,18432,4352,0,22528,14592,16641,25090,15108,14851,30720,61440,4352,59904,59649,53248,43264,30720,30720
eg0012v2|12|2|17|6|49|57344,59648,51712,53761,62210,52228,51971,6401,6658,54020,56328,50448,52497,1033,52498,49925,64003,49926,22528,14592,16641,25090,15108,14851,30720,61440,4352,59904,59649,53248,43264,30720,30720,10240,10496,57856,60160,54272,56321,4865,56322,53761,2305,53762,10240,57600,59904,54016,56065,4609,56066,53505,61440,63744,57856,59905,8449,59906,26624,20736,22785,0,30720,49152,35072,30720,0,18432,4352,0
eg0013v0|13|0|18|7|36|45056,47360,43520,43776,27648,47617,45826,33796,25864,36105,28178,28179,41989,25866,25347,49409,27140,25093,27142,10240,6400,6656,56064,10497,8706,62212,54280,64521,56594,56595,4869,54282,53763,14336,14592,64000,14336,63744,30720,10240,8448,61952,54016,64257,56322,56323,4609,54018,53505,45056,33024,25088,35329,27394,27395,41217,25090,57344,49408,59649,51714,51715,0,22528,14592,14593,30720,30720,49152,33024,0,0,40960,18688,16641,18690,30720,0,30720
eg0013v1|13|1|18|7|36|45056,49408,27136,25089,27138,47361,43522,43780,27656,47619,45830,33804,25880,36121,28210,28211,41997,25882,25351,40960,18688,16641,18690,30720,0,30720,10240,6400,6656,56064,10497,8706,62212,54280,64521,56594,56595,4869,54282,53763,14336,14592,64000,14336,63744,30720,10240,8448,61952,54016,64257,56322,56323,4609,54018,53505,45056,33024,25088,35329,27394,27395,41217,25090,57344,49408,59649,51714,51715,0,22528,14592,14593,30720,30720,49152,33024,0,0
eg0015v0|15|0|24|7|76|18432,24832,29184,4864,13057,5122,5123,17154,9220,5384,21769,5650,12801,13058,27652,5384,7433,13317,7434,5387,19203,27654,5388,5389,45056,49408,25088,33281,25346,25347,37378,29444,25608,41993,25874,33025,33282,47876,25608,27657,33541,27658,25611,39427,47878,25612,25613,40960,16640,24833,16898,16899,28930,20996,17160,33545,17426,0,57344,49408,49409,0,0,53248,45312,41472,57857,41730,61440,57600,8449,57858,0,49152,33024,0,57344,57600,6656,49920,51969,57857,51970,49923,63745,6658,49924,49925,57344,6400,49664,51713,57601,51714,49667,10240,53504,55553,0,30720,57344,51456,49409,30720,0,18432,26880,4608,4609,10240,53504,53505,0,0
eg0016v0|16|0|26|7|60|61440,57600,12545,514,13060,1032,60688,3345,60962,60963,9225,58642,2821,60426,64523,64790,58924,58925,62743,58926,58927,8707,17158,60440,3097,60722,58675,5146,58676,0,45056,33024,45568,33536,27648,35841,27906,27907,41729,25602,35329,27394,31491,31750,25868,25869,29703,25870,25871,41217,49666,27400,35593,27666,25619,37642,25620,57344,4352,57856,51968,60161,52226,52227,513,49922,59649,51714,55811,56070,50188,50189,54023,50190,50191,45056,33024,27136,35329,27394,27395,41217,25090,57344,51456,59649,51714,51715,30720,22528,14592,14593,30720,30720,49152,33024,0,22528,14592,18689,18946,13060,13061,16899,13062,13063,30720,26624,26880,20992,20993,24833,20994,20995,26624,20736,20737,0,0,61440,57600,57601,0,0,49152,57600,35328,43521,35586,33539,45570,33540,40960,18688,26881,18946,16899,28930,16900,30720,22528,14592,12545,30720,0,53248,41216,0
eg0016v1|16|1|26|7|60|61440,12544,512,13056,1024,60672,3329,60930,60931,9217,58626,2817,60418,64515,64774,58892,58893,62727,58894,58895,8705,17154,60424,3081,60690,58643,5130,58644,57601,45056,33024,45568,33536,27648,35841,27906,27907,41729,25602,35329,27394,31491,31750,25868,25869,29703,25870,25871,41217,49666,27400,35593,27666,25619,37642,25620,57344,4352,57856,51968,60161,52226,52227,513,49922,59649,51714,55811,56070,50188,50189,54023,50190,50191,45056,33024,27136,35329,27394,27395,41217,25090,57344,51456,59649,51714,51715,30720,22528,14592,14593,30720,30720,49152,33024,0,22528,14592,18689,18946,13060,13061,16899,13062,13063,30720,26624,26880,20992,20993,24833,20994,20995,26624,20736,20737,0,0,61440,57600,57601,0,0,49152,57600,35328,43521,35586,33539,45570,33540,40960,18688,26881,18946,16899,28930,16900,30720,22528,14592,12545,30720,0,53248,41216,0,0
eg0017v0|17|0|6|6|8|14336,14592,8704,13056,9216,62720,14336,8448,12800,8960,62464,53248,57600,53760,41728,49152,45312,33280,53248,41216,0
eg0018v0|18|0|13|6|61|10240,256,2560,768,62464,54528,54529,6401,57858,2820,3080,56592,54021,53248,55552,53760,49920,41984,41985,18432,16640,12800,4864,4865,53248,49408,41472,41473,57344,49408,49409,0,0,14336,256,10752,11008,64512,61953,61440,6400,6656,60160,57601,18432,18688,6656,18432,6400,30720,0
eg0018v1|18|1|13|6|61|10240,6400,57856,2816,3072,56576,54017,257,2562,772,62472,54544,54545,14336,256,10752,11008,64512,61953,61440,6400,6656,60160,57601,18432,18688,6656,18432,6400,30720,0,53248,55552,53760,49920,41984,41985,18432,16640,12800,4864,4865,53248,49408,41472,41473,57344,49408,49409,0,0
eg0019v0|19|0|5|4|12|49152,53504,49664,33536,33281,45056,41216,25088,24833,49152,33024,0,0
eg0020v0|20|0|3|2|4|45056,24832,24833,0,0
eg0020v1|20|1|3|2|4|45056,24832,24833,0,0
eg0022v0|22|0|7|6|53|18432,20736,10752,4864,19201,19458,5380,49152,39168,33280,47617,47874,33796,26624,20736,35073,35330,21252,0,18432,18688,4608,18432,4352,0
eg0024v0|24|0|13|6|26|14336,2304,12800,62208,4609,64258,19203,17414,64780,62733,1031,64782,62735,26624,37120,20992,28929,23042,43523,41734,23564,21517,25351,23566,21519,49152,33024,0,57344,51456,6401,4610,51972,49925,53763,51974,49927,30720,10240,8448,55808,53761,57601,55810,53763,45056,26880,24833,30720,0,61440,59648,57601,30720,0
eg0025v0|25|0|8|6|19|49152,41216,51712,49920,46080,34048,43521,35586,33539,57344,2304,512,62208,50176,59649,51714,49667,14336,12544,8704,62208,49152,45312,33280,53248,41216,0,22528,14592,12545,30720,0
eg0026v0|26|0|9|6|32|49152,39168,33280,41473,33538,56067,33798,48135,34062,26624,20736,28929,20994,43523,21254,35591,21518,0,57344,49408,6401,49666,64003,49926,0,10240,53504,2305,53762,0,18432,4352,0
eg0027v0|27|0|12|6|35|22528,20736,20992,31488,33792,15616,15617,23297,15362,25603,13574,14849,12545,57344,57600,2560,4864,52224,52225,59905,51970,62211,50182,51457,57344,2304,4608,51968,51969,59649,51714,61955,49926,14336,16640,64000,64001,45056,26880,26881,30720,30720,22528,14592,24833,12802,30720,53248,41216,0,30720,0
eg0027v1|27|1|13|6|29|57344,57600,57856,2816,5120,52480,52481,60161,52226,62467,50438,51713,59649,51714,49667,57344,57600,2560,4864,52224,52225,59905,51970,62211,50182,51457,57344,2304,4608,51968,51969,59649,51714,61955,49926,14336,16640,64000,64001,45056,26880,26881,30720,30720,22528,14592,24833,12802,30720,53248,41216,0,30720,22528,14592,12545,30720,0
eg0027v2|27|2|13|6|29|57344,59648,51712,49665,57601,57858,2820,5128,52496,52497,60165,52234,62475,50454,51715,22528,14592,12545,30720,0,57344,57600,2560,4864,52224,52225,59905,51970,62211,50182,51457,57344,2304,4608,51968,51969,59649,51714,61955,49926,14336,16640,64000,64001,45056,26880,26881,30720,30720,22528,14592,24833,12802,30720,53248,41216,0,30720
eg0028v0|28|0|24|7|103|22528,12544,33025,33282,27396,27656,13584,25349,29706,13588,16899,27398,21516,13592,23833,15922,13875,35591,21518,15644,23837,15930,13883,17423,13598,13599,0,45056,45312,39424,39680,25600,37377,41730,25604,28929,39426,33540,25608,35849,27922,25875,47619,33542,27660,35853,27930,25883,29447,25614,25615,45056,39168,39424,25344,37121,41474,25348,18432,18688,4608,18432,4352,0,53248,57600,41472,49152,33024,0,61440,6400,512,58112,2817,60418,58371,14593,514,60164,2821,60426,58379,61955,58118,58119,18432,12544,4608,14849,6914,4867,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,10240,61696,55808,64001,56066,54019,57601,53762,53763,57344,51456,59649,51714,49667,30720,22528,14592,12545,30720,0,61440,57600,57601,0,0
eg0028v1|28|1|25|8|97|57344,49408,59649,51714,4611,4870,64524,64792,50736,62477,1306,50740,54023,64526,58652,50744,60985,53106,51059,7183,58654,52796,60989,53114,51067,54559,50750,50751,0,22528,14592,33025,33282,27396,27656,13584,25349,29706,13588,16899,27398,21516,13592,23833,15922,13875,35591,21518,15644,23837,15930,13883,17423,13598,13599,30720,45056,45312,39424,39680,25600,37377,41730,25604,28929,39426,33540,25608,35849,27922,25875,47619,33542,27660,35853,27930,25883,29447,25614,25615,45056,39168,39424,25344,37121,41474,25348,18432,18688,4608,18432,4352,0,53248,57600,41472,49152,33024,0,61440,6400,512,58112,2817,60418,58371,14593,514,60164,2821,60426,58379,61955,58118,58119,18432,12544,4608,14849,6914,4867,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,10240,61696,55808,64001,56066,54019,57601,53762,53763,57344,51456,59649,51714,49667,30720,22528,14592,12545,30720,0,61440,57600,57601,0,0
eg0028v2|28|2|25|8|97|57344,59648,51712,4609,4866,64516,64776,50704,62469,1290,50708,54019,64518,58636,50712,60953,53042,50995,7175,58638,52764,60957,53050,51003,54543,50718,50719,49409,22528,14592,33025,33282,27396,27656,13584,25349,29706,13588,16899,27398,21516,13592,23833,15922,13875,35591,21518,15644,23837,15930,13883,17423,13598,13599,30720,45056,45312,39424,39680,25600,37377,41730,25604,28929,39426,33540,25608,35849,27922,25875,47619,33542,27660,35853,27930,25883,29447,25614,25615,45056,39168,39424,25344,37121,41474,25348,18432,18688,4608,18432,4352,0,53248,57600,41472,49152,33024,0,61440,6400,512,58112,2817,60418,58371,14593,514,60164,2821,60426,58379,61955,58118,58119,18432,12544,4608,14849,6914,4867,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,10240,61696,55808,64001,56066,54019,57601,53762,53763,57344,51456,59649,51714,49667,30720,22528,14592,12545,30720,0,61440,57600,57601,0,0,0
eg0029v0|29|0|19|7|56|49152,41216,57856,39680,35840,33793,41729,33794,44035,36102,34055,45826,54276,36104,34057,43521,35586,49923,52230,48396,34328,57344,8448,55808,51968,49921,57857,49922,60163,52230,50183,61954,4868,52232,50185,59649,51714,515,2822,64524,50456,40960,22784,18944,16897,24833,16898,27139,19206,17159,28930,37380,19208,17161,26624,22784,20737,30720,0,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,53248,61696,43520,41473,45056,26880,24833,30720,0,22528,14592,28929,31234,27396,13320,30720,49152,51456,47616,33536,14336,10496,61952,18432,4352,0
eg0030v0|30|0|10|6|30|57344,4352,51712,61953,6914,3076,50440,64517,52490,49409,45056,26880,37121,47618,43780,25608,39685,27658,30720,53248,63744,59904,41728,55809,43778,10240,6400,53760,2305,55810,14336,61696,0,18432,6400,30720,0
eg0030v1|30|1|10|6|30|57344,49408,4353,51714,61955,6918,3084,50456,64525,52506,0,45056,26880,37121,47618,43780,25608,39685,27658,30720,53248,63744,59904,41728,55809,43778,10240,6400,53760,2305,55810,14336,61696,0,18432,6400,30720
eg0031v0|31|0|4|3|5|10240,256,55808,55553,53248,43264,30720,30720
eg0031v1|31|1|4|3|5|10240,55552,257,55810,30720,53248,43264,30720
eg0035v0|35|0|11|6|37|49152,41216,55808,51968,48128,36096,33537,49665,37634,35844,35845,57344,6400,2560,64256,52224,49665,257,53762,51972,51973,10240,6400,2560,56064,53505,14336,10496,64000,18432,6400,30720,0,49152,37120,35328,35329,61440,59648,59649,30720,30720
eg0036v0|36|0|11|6|33|18432,24832,12800,4864,8961,17410,5380,27651,5382,5383,6657,45056,33024,25088,29185,37634,25604,47875,25606,25607,26881,57344,49408,53505,61954,49924,6659,49926,49927,0,61440,4352,57856,14593,57858,57859,53248,41216,0,10240,53504,53505,0,0,30720
eg0037v0|37|0|9|6|29|53248,49408,45568,56064,62464,44288,42241,43777,41473,57344,53504,64000,4864,52224,50177,51713,49409,61440,6400,12800,60160,58113,59649,18432,24832,6656,4609,45056,26880,24833,30720,0,30720,0
eg0038v0|38|0|4|4|20|49152,51456,47616,33536,14336,10496,61952,18432,4352,0
eg0039v0|39|0|22|7|44|26624,24832,41472,43776,37888,21760,33793,21762,33537,21506,27137,41730,29700,21768,32009,24082,22035,23557,39683,44038,21772,21773,20737,61440,12544,14848,8960,58368,4865,58370,4609,58114,63745,12802,772,58376,3081,60690,58643,60165,10755,15110,58380,58381,45056,47360,41472,25344,37377,25346,37121,25090,10240,4352,53760,257,53762,49152,33024,0,53248,41216,0,53248,41216,0,26624,41216,29184,21248,31489,23554,21507,23041,39169,43522,21252,21253,45056,33024,25088,35329,27394,25347,26881,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,30720,14336,18688,61952,61953,10240,53504,53505,0,0,0
eg0039v1|39|1|23|7|45|61440,61696,12800,15104,9216,58624,5121,58626,4865,58370,64001,13058,1028,58632,3337,60946,58899,60421,11011,15366,58636,58637,4353,57858,61440,12544,14848,8960,58368,4865,58370,4609,58114,63745,12802,772,58376,3081,60690,58643,60165,10755,15110,58380,58381,45056,47360,41472,25344,37377,25346,37121,25090,10240,4352,53760,257,53762,49152,33024,0,53248,41216,0,53248,41216,0,26624,41216,29184,21248,31489,23554,21507,23041,39169,43522,21252,21253,45056,33024,25088,35329,27394,25347,26881,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,30720,14336,18688,61952,61953,10240,53504,53505,0,0,53248,41216,0
eg0039v2|39|2|23|7|45|61440,4352,57856,61697,12802,15108,9224,58640,5129,58642,4869,58378,64003,13062,1036,58648,3353,60978,58931,60429,11015,15374,58652,58653,53248,41216,0,61440,12544,14848,8960,58368,4865,58370,4609,58114,63745,12802,772,58376,3081,60690,58643,60165,10755,15110,58380,58381,45056,47360,41472,25344,37377,25346,37121,25090,10240,4352,53760,257,53762,49152,33024,0,53248,41216,0,53248,41216,0,26624,41216,29184,21248,31489,23554,21507,23041,39169,43522,21252,21253,45056,33024,25088,35329,27394,25347,26881,57344,49408,59649,51714,49667,0,22528,14592,12545,30720,0,30720,14336,18688,61952,61953,10240,53504,53505,0,0
eg0040v0|40|0|4|3|19|18432,10496,4608,4609,26624,20736,20737,0,0
eg0041v0|41|0|11|6|18|26624,20736,24833,33282,21252,41475,21254,39687,41998,21788,21789,0,61440,4352,57856,12545,57858,10755,13062,58380,58381,53248,41216,0,45056,24832,43265,45570,25348,25349,0,14336,16640,61952,61953,45056,24832,24833,0,0
eg0041v1|41|1|12|7|19|61440,57600,4353,61954,4868,58376,13061,58378,11275,13590,58924,58925,0,53248,45312,53760,41728,61953,41730,60163,62470,42252,42253,61440,4352,57856,12545,57858,10755,13062,58380,58381,53248,41216,0,45056,24832,43265,45570,25348,25349,0,14336,16640,61952,61953,45056,24832,24833,0,0
eg0041v2|41|2|12|7|19|61440,4352,61952,4864,58368,13057,58370,11267,13574,58892,58893,57601,53248,45312,53760,41728,61953,41730,60163,62470,42252,42253,61440,4352,57856,12545,57858,10755,13062,58380,58381,53248,41216,0,45056,24832,43265,45570,25348,25349,0,14336,16640,61952,61953,45056,24832,24833,0,0,0
eg0044v0|44|0|14|6|41|53248,47360,64000,56064,58368,44288,64257,64514,42244,42245,60419,42246,57857,41730,26624,43264,35328,37632,23552,43521,43778,21508,21509,39683,21510,37121,20994,10240,2304,4608,56064,10497,10754,54020,54021,6659,54022,18432,20736,6656,49152,35072,30720,10240,10496,53760,53761,6401,53762,10240,53504,53505,0,0,14336,61696,0,49152,33024,0
eg0045v0|45|0|14|6|25|61440,57600,14593,14850,62212,13320,60688,58641,58377,4869,13322,58644,60693,59907,0,10240,10496,57856,8960,56320,54273,54017,513,8962,54276,56325,55553,10240,57600,8704,56064,54017,53761,257,8706,54020,56069,61440,12544,59904,57857,57601,45056,26880,24833,30720,0,0,53248,61696,41472,43521,45056,24832,26881,0,30720,30720
eg0045v1|45|1|14|6|25|61440,14592,14848,62208,13312,60672,58625,58369,4865,13314,58628,60677,59905,57601,10240,10496,57856,8960,56320,54273,54017,513,8962,54276,56325,55553,10240,57600,8704,56064,54017,53761,257,8706,54020,56069,61440,12544,59904,57857,57601,45056,26880,24833,30720,0,0,53248,61696,41472,43521,45056,24832,26881,0,30720,30720,0
eg0046v0|46|0|42|7|101|10240,61696,57856,8960,1024,54528,11265,56578,54531,8961,58370,54532,54533,54275,8705,54018,60163,11270,54540,54541,56327,8449,8706,62212,7176,54544,64521,56594,5395,54822,54021,61955,11014,3084,54552,11277,56602,54555,11015,5134,54556,7183,54558,57344,53504,4608,62208,50176,6913,52226,50179,4609,54018,50180,50181,49923,4353,49666,55811,6918,50188,50189,51975,61440,12544,4608,58112,14849,60162,58115,12545,61954,58116,58117,57859,45056,37120,25088,47361,27138,25091,53248,41216,0,10240,55552,53505,30720,0,45056,28928,25088,25089,24833,61440,57600,57601,0,0,0,45056,24832,30977,47618,25348,25349,27139,0,26624,43264,20992,20993,22785,10240,53504,53505,0,0,30720,45056,45312,33280,43776,25600,35585,27650,41987,25862,25089,33025,47618,39684,25608,47877,27658,25611,47619,41734,25612,43783,25614,45056,33024,43520,25344,35329,27394,41731,25606,24833,57344,2304,49664,59649,51714,515,49926,14336,61696,0,22528,14592,28929,12802,30720,49152,33024,0,0,57344,6400,64000,49920,6657,51970,49923,6401,514,49924,2563,49926,10240,2304,53760,10497,55810,53763,18432,4352,0,10240,55552,53505,30720,0,10240,4352,53760,6401,53762,49152,33024,0,14336,61696,0
eg0046v1|46|1|42|7|101|10240,8448,8704,62208,7168,54528,64513,56578,5379,54790,54017,61953,11010,3076,54536,11269,56586,54539,11011,5126,54540,7175,54542,61697,57858,8964,1032,54544,11273,56594,54547,8965,58378,54548,54549,54283,8707,54022,60167,11278,54556,54557,56335,45056,45312,33280,43776,25600,35585,27650,41987,25862,25089,33025,47618,39684,25608,47877,27658,25611,47619,41734,25612,43783,25614,45056,33024,43520,25344,35329,27394,41731,25606,24833,57344,2304,49664,59649,51714,515,49926,14336,61696,0,22528,14592,28929,12802,30720,49152,33024,0,0,57344,6400,64000,49920,6657,51970,49923,6401,514,49924,2563,49926,10240,2304,53760,10497,55810,53763,18432,4352,0,10240,55552,53505,30720,0,10240,4352,53760,6401,53762,49152,33024,0,14336,61696,0,57344,53504,4608,62208,50176,6913,52226,50179,4609,54018,50180,50181,49923,4353,49666,55811,6918,50188,50189,51975,61440,12544,4608,58112,14849,60162,58115,12545,61954,58116,58117,57859,45056,37120,25088,47361,27138,25091,53248,41216,0,10240,55552,53505,30720,0,45056,28928,25088,25089,24833,61440,57600,57601,0,0,0,45056,24832,30977,47618,25348,25349,27139,0,26624,43264,20992,20993,22785,10240,53504,53505,0,0,30720
eg0047v0|47|0|15|7|59|45056,37120,39424,33536,37888,25856,35841,27906,42243,26118,33025,39426,43780,27656,35331,27398,25351,53248,55552,49664,54016,41984,51969,44034,58371,42246,18432,12544,16896,4864,14849,6914,21251,5126,57344,61696,49664,59649,51714,515,49926,53248,41216,0,22528,14592,28929,12802,30720,49152,33024,0,57344,63744,2560,51968,59649,51714,49667,18432,22784,6656,14336,63744,30720,22528,14592,12545,30720,0
eg0047v1|47|1|15|7|59|45056,33024,39424,43776,27648,35329,27394,25347,37121,39426,33540,37896,25872,35849,27922,42259,26150,57344,63744,2560,51968,59649,51714,49667,18432,22784,6656,14336,63744,30720,22528,14592,12545,30720,0,53248,55552,49664,54016,41984,51969,44034,58371,42246,18432,12544,16896,4864,14849,6914,21251,5126,57344,61696,49664,59649,51714,515,49926,53248,41216,0,22528,14592,28929,12802,30720,49152,33024,0
eg0050v0|50|0|3|2|5|57344,49408,49409,0,0
eg0050v1|50|1|3|2|5|57344,49408,49409,0,0
eg0051v0|51|0|4|3|5|26624,20736,33025,23042,0,53248,43264,30720
eg0051v1|51|1|3|2|4|61440,57600,59649,0,30720
eg0051v2|51|2|3|2|4|61440,59648,57601,30720,0
eg0052v0|52|0|3|2|4|61440,57600,59649,0,30720
eg0052v1|52|1|3|2|4|61440,59648,57601,30720,0
eg0053v0|53|0|12|5|20|45056,33024,43520,27392,49665,47876,27656,25609,37637,25610,25350,24833,57344,2304,51712,8449,6660,51976,49929,61957,49930,49670,14336,63744,30720,40960,39168,18944,16897,28929,16898,16642,10240,55552,53505,30720,0,53248,41216,0,0,0
